Coverage ID,Bug ID,Request ID,Capture ID,Build,Observed opcode,Requests,Scope
COV-09,HG-QA-009,REQ-02,SN-8424D21AC8C4,68887,CMSG_SETUP_WARBAND_GROUPS,3,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-87101F0E878D,68887,CMSG_SETUP_WARBAND_GROUPS,3,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-8A69601E7175,68887,CMSG_SETUP_WARBAND_GROUPS,3,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-8E99BB590447,68887,CMSG_SETUP_WARBAND_GROUPS,3,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-904245D94296,68887,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-9BCFDB60EB0C,68887,CMSG_SETUP_WARBAND_GROUPS,4,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-A1A58E355E7B,68887,CMSG_SETUP_WARBAND_GROUPS,3,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-A4785199E98D,68887,CMSG_SETUP_WARBAND_GROUPS,3,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-B410FDD825D5,68887,CMSG_SETUP_WARBAND_GROUPS,3,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-B63159B81694,68887,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-B67ACAEA1A16,68887,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-C2AF10AB226D,68887,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-C37A590BA21F,68887,CMSG_SETUP_WARBAND_GROUPS,6,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-C61489420073,68887,CMSG_SETUP_WARBAND_GROUPS,3,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-CB47DA34AAE8,68887,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-CC2DAE14C9E6,68887,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-D6A0378BB9D2,68887,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-10,HG-QA-010,REQ-03,SN-D6A0378BB9D2,68887,CMSG_PERKS_PROGRAM_REQUEST_PURCHASE,3,Request present; lifecycle qualification pending
COV-09,HG-QA-009,REQ-02,SN-D78DBFDC9A29,68887,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-D99082968709,68887,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-DBBFF3F2D2BE,68887,CMSG_SETUP_WARBAND_GROUPS,6,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-E2F3791F22F2,68887,CMSG_SETUP_WARBAND_GROUPS,3,Request present; payload qualification pending
COV-10,HG-QA-010,REQ-03,SN-E2F3791F22F2,68887,CMSG_PERKS_PROGRAM_REQUEST_PURCHASE,4,Request present; lifecycle qualification pending
COV-09,HG-QA-009,REQ-02,SN-EFAD1C0BC29A,68887,CMSG_SETUP_WARBAND_GROUPS,3,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-F583130A6B1B,68887,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-005D613E6E9E,68453,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-3B748D960D0B,68453,CMSG_SETUP_WARBAND_GROUPS,4,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-73C745CAA1FC,68453,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-7D2A82AC2C59,68453,CMSG_SETUP_WARBAND_GROUPS,4,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-C74292392EDC,68256,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-2D0B23A40100,67823,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
COV-09,HG-QA-009,REQ-02,SN-8731C9337224,67823,CMSG_SETUP_WARBAND_GROUPS,2,Request present; payload qualification pending
