Capture ID,Library collection,Client build,Packets,Observed map ID count,Observed quest ID count,Campsite requests,Trading Post purchases,Gameplay coverage,Capture name,SHA256
SN-3391437808E9,Midnight,68887,255865,3,24,3,0,Not certified,Midnight Questchain Voidstorm - Part XIII.pkt,3391437808E99281B095F93EB4418A9C151C5417C1E3D2437014BFC7D37F3E66
SN-3417627AA7D7,Midnight,68887,253830,6,11,2,0,Not certified,Midnight Questchain Zul'Aman - Part X.pkt,3417627AA7D79E5693DBE27537A35797E44AA4F0848FCE960D9CF824045FF824
SN-34970D81D9A5,Midnight,68887,193838,7,11,2,0,Not certified,Zul'aman Questing Part 5.pkt,34970D81D9A5243D9C16ACAA41EA08C79D8E20B24813681FB1514CB52CBC7606
SN-34AFE5167DEA,Midnight,68887,580387,11,60,6,0,Not certified,Campaign part 3.pkt,34AFE5167DEA37FEE5C1F456DED4F3703028DCB5594D9C7679E58B89EF98AC14
SN-39756117CECE,Midnight,68887,204615,6,11,2,0,Not certified,Zul'aman Questing Part 6.pkt,39756117CECE33B9CA04431071299547D92089D1FFA60730D3E7FB3917128B08
SN-4C496F4AF471,Midnight,68887,70677,6,6,2,0,Not certified,Zul'aman Questing Part 3.pkt,4C496F4AF4717FE5C2B8E9142CDF6B60B632EE535840689C59CDE73FEFB30B40
SN-4EBF455F13C5,Midnight,68887,189865,5,26,3,0,Not certified,Midnight Questchain Zul'Aman - Part VIII.pkt,4EBF455F13C5CAA952ED9A7BAA241E58497FD811CA432AB6475D86B2AFB5879F
SN-5B5597C5457D,Midnight,68887,268184,6,3,2,0,Not certified,Midnight Questchain Silvermoon + Magisters' Terrace - Part XI.pkt,5B5597C5457DCD5DBCFE9D34D4552DEE4A7DC99914488C87D09438DFB7BDD64B
SN-61A41D5BC652,Midnight,68887,128817,6,15,5,0,Not certified,Midnight Questchain Voidstorm - Part XII.pkt,61A41D5BC6520CC09EB4A37AC1849DAFD7BE7A084DEA14E46D1DDB835BC36B90
SN-6554ED94C0D3,Midnight,68887,107213,2,21,3,0,Not certified,Waking Shores (DF) Introductory Questchain Part I.pkt,6554ED94C0D331C073EC99B93C52008E390A1249305F60DC40BBDE31319F6BAB
SN-666AC40CC99B,Midnight,68887,47431,11,5,6,0,Not certified,Void Elf Demon Hunter Unlock (test).pkt,666AC40CC99BDFE7D7CABF52CD88D7D742305956A47FDE82A562BA9B5EC8E2E3
SN-669DB730258C,Midnight,68887,59450,6,7,2,0,Not certified,Zul'aman Questing Part 4.pkt,669DB730258C2DF22824BD3A252B6460F4C8E2D7F7E90FE8FAD2649C65CDFD06
SN-68FD20683D79,Midnight,68887,88290,5,18,2,0,Not certified,Midnight Questchain Zul'Aman - Part IX.pkt,68FD20683D792434AFE62152FBA23B5624D6F2BEAB3E6007EF6CEC0FBF806114
SN-7061618D3F63,Midnight,68887,203607,6,6,4,0,Not certified,Shadow Enclave - Tiers 1 and 2.pkt,7061618D3F63CDB87F576291716B6D8EE93DE64075FF2F4139E39CEB71C6E8B2
SN-73C1C7968FFB,Midnight,68887,71223,5,6,2,0,Not certified,Midnight Questchain - Part XXI.pkt,73C1C7968FFB4D877F79993E209DE98767446F23CCC5D6AB8C422B32FF247316
SN-8424D21AC8C4,Midnight,68887,128664,4,0,3,0,Not certified,Dungeon - The Rookery (TWW).pkt,8424D21AC8C415623131852071906047295D7A6EAD3587391ADD4915ACDE425D
SN-87101F0E878D,Midnight,68887,542692,10,37,3,0,Not certified,EversongQuestingChunk_TWdungs.pkt,87101F0E878DB117DCC6A81B097AE881FC5140EB9CC60A62F48B8DD0B00007CA
SN-8A69601E7175,Midnight,68887,387770,5,18,3,0,Not certified,Midnight Questchain Part II.pkt,8A69601E71753EAA4B955B3581E156C3984589F3A6A53FAE2222B44304E51B76
SN-8E99BB590447,Midnight,68887,152066,5,21,3,0,Not certified,Midnight Questchain Eversong - Part III.pkt,8E99BB5904471DC5BA9737571A39810D80D49A30581DBC635EEB9174D2562362
SN-904245D94296,Midnight,68887,167550,4,22,2,0,Not certified,Midnight Secondary Questchain - Part XIX.pkt,904245D94296231CB335E565ACA412367B322E466EB200B765B5B15A4DA4AA2E
SN-9BCFDB60EB0C,Midnight,68887,9189,4,0,4,0,Not certified,Chromie Time.pkt,9BCFDB60EB0C364F80F3CB9FA4A9FDDD8EB4BF4EB7DE22874222C17436C98A7E
SN-A1A58E355E7B,Midnight,68887,188602,9,21,3,0,Not certified,Midnight Questchain Harandar - Part V.pkt,A1A58E355E7B644B9BA0A384369BB8F4EDCE463A96B30FD1A1741EBBC6DFB8AC
SN-A4785199E98D,Midnight,68887,290887,7,0,3,0,Not certified,Dungeon - Murder Row.pkt,A4785199E98DF2A6BCBC02ED21D82CD5B39DB512087AAC36ED86613B09E00BEB
SN-B410FDD825D5,Midnight,68887,164309,6,26,3,0,Not certified,Midnight Questchain Harandar - Part VII.pkt,B410FDD825D5BD5009EDD8333198B3205F68DEFC4A29B7F3F5E96F778C003660
SN-B63159B81694,Midnight,68887,171861,5,25,2,0,Not certified,Eversong Secondary Questing - Part XVI.pkt,B63159B81694A6D64241D0B5B22ADEB2BDD0E19A9E38C4BB5323C1FAE81A71EA
SN-B67ACAEA1A16,Midnight,68887,453021,6,20,2,0,Not certified,Midnight Questchain END + Eversong Questing - Part XV.pkt,B67ACAEA1A1620AA8DD904309B29A30C5F2F24E9FB9E872269209DAC59CDAD47
SN-C2AF10AB226D,Midnight,68887,334267,7,5,2,0,Not certified,Windrunner Spire Dungeon.pkt,C2AF10AB226DEE00FB0DAC1BFFD28C165807BBE58AE22937D1B1C9CA05CF02DD
SN-C37A590BA21F,Midnight,68887,25967,6,6,6,0,Not certified,Haranir - Starting Initiation and to Stormwind.pkt,C37A590BA21FCC9472E3F7F45C781C79CACBB61A05A151C216CC1F34A487A976
SN-C61489420073,Midnight,68887,332245,4,4,3,0,Not certified,Midnight Questchain Voidstorm + Nexus-Point Xenas Dungeon - Part XIV.pkt,C6148942007325B37252DE4940A3393079418DDD7D5A73D15C6D3B77FF175675
SN-CB47DA34AAE8,Midnight,68887,37334,6,9,2,0,Not certified,Midnight - Housing Introduction.pkt,CB47DA34AAE8757C0995093B6462084AB2BA293314CA52DDC65C60B314A70626
SN-CC2DAE14C9E6,Midnight,68887,122469,8,15,2,0,Not certified,The Shadow Enclave - Midnight - Delve.pkt,CC2DAE14C9E6657A0B980FF38447E88ECDC71FD34F6143BFCBC2A930BE4E96A3
SN-D6A0378BB9D2,Midnight,68887,106476,6,9,2,3,Not certified,Zul'aman Questing Part 2.pkt,D6A0378BB9D240D30E0D169A49631B0170B7DACA1589C25AAB55EBF2B2CE9F6F
SN-D78DBFDC9A29,Midnight,68887,645402,10,10,2,0,Not certified,"Full Timewalking and Gossip, Talent Choosing.pkt",D78DBFDC9A2921CCE24926758CC5EFA7C6E8637DD54F538411BE37B827E3FB20
SN-D99082968709,Midnight,68887,917088,11,21,2,0,Not certified,ZulAman_worldEvents_TBStime.pkt,D99082968709F9A4BD925825AD20D56CDECB1E5ABBEF77BF1429A77BC4057A39
SN-DBBFF3F2D2BE,Midnight,68887,91499,4,5,6,0,Not certified,Dornogal - Exploration and NPCs.pkt,DBBFF3F2D2BE47A9A517851679F4FBB742284717DF756EEEB005FA7F63CCD2BF
SN-E2F3791F22F2,Midnight,68887,191023,4,16,3,4,Not certified,Midnight Questchain - Part XX.pkt,E2F3791F22F2C57328772BB2AB81A7A72BE781FAFA86643B0B514FDB04CA40D1
SN-EFAD1C0BC29A,Midnight,68887,201330,7,36,3,0,Not certified,Midnight Eversong and More Questchain - Part IV.pkt,EFAD1C0BC29AF1738FBB76D8213D61288AC770327D34BC09850B7DE95BFD2177
SN-F583130A6B1B,Midnight,68887,117700,5,15,2,0,Not certified,Midnight Secondary Questchain - Part XVIII.pkt,F583130A6B1BCE4B78FCA791696AE0D4A8BD60C98121CB58ECB587E639CB9DFE
SN-005D613E6E9E,Midnight,68453,21376,8,7,2,0,Not certified,started-midnight-accepted-quests-and-housing-quest-pickup.pkt,005D613E6E9EB82CC84AC0861227D8A0AFD688DF3EEBA1C8913E19C3B17798A1
SN-3B748D960D0B,Midnight,68453,5623,1,2,4,0,Not certified,Horde - Starting Zone (test).pkt,3B748D960D0B791356705053EBE676EDA6871CC3951F56EB9AD550E92237CB82
SN-73C745CAA1FC,Midnight,68453,326458,7,24,2,0,Not certified,To Silvermoon City.pkt,73C745CAA1FC332A5E2139D0C9AF0CA55AA912F7C76D3DFD051F9565A45E08C6
